epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0237,3.28142,3.98512,4.12347,32.788415,0.00175,0.37653,0.00143,0.00053,2.82915,3.86792,3.89191,0.0704054,0.00328829,0.00328829
2,26.6429,3.05996,3.58897,3.68451,30.27095,0.08922,0.08802,0.03286,0.00787,2.59723,3.43386,3.49061,0.0403726,0.00658884,0.00658884
3,37.6192,2.79506,3.25502,3.28828,27.52288,0.08465,0.22157,0.0519,0.01355,2.69651,3.98678,3.84486,0.0103069,0.0098564,0.0098564
4,48.087,2.45169,2.86046,2.91659,24.19279,0.12234,0.18582,0.06669,0.02015,2.58749,11.2363,3.59343,0.0098515,0.0098515,0.0098515
5,58.3547,2.11071,2.43165,2.61323,20.965995,0.31426,0.3912,0.29297,0.11934,1.91523,4.63113,2.57449,0.009802,0.009802,0.009802
6,68.7629,1.89288,2.08927,2.36914,18.794945,0.46849,0.52567,0.47598,0.21752,1.72462,4.51586,2.43647,0.0097525,0.0097525,0.0097525
7,79.3673,1.71825,1.82308,2.19928,17.097335,0.61013,0.61369,0.6321,0.33313,1.54265,1.60899,2.15382,0.009703,0.009703,0.009703
8,90.0754,1.59697,1.65365,2.07876,15.92224,0.56179,0.61369,0.61405,0.33656,1.50938,2.43143,2.13235,0.0096535,0.0096535,0.0096535
9,100.48,1.53534,1.53004,2.00196,15.28301,0.78481,0.71336,0.80734,0.48621,1.40558,1.30233,2.02882,0.009604,0.009604,0.009604
10,110.692,1.46925,1.43113,1.93837,14.642495,0.81264,0.71053,0.83091,0.51938,1.30957,1.32495,1.9153,0.0095545,0.0095545,0.0095545
11,121.423,1.4303,1.35757,1.88537,14.23409,0.77636,0.77751,0.85275,0.53761,1.24209,1.28484,1.83402,0.009505,0.009505,0.009505
12,131.783,1.37371,1.27551,1.83182,13.68831,0.76275,0.79462,0.83743,0.56053,1.22144,1.09974,1.8164,0.0094555,0.0094555,0.0094555
13,141.877,1.3227,1.21927,1.77235,13.18841,0.82592,0.80196,0.87846,0.57174,1.213,1.11821,1.78587,0.009406,0.009406,0.009406
14,152.114,1.30852,1.19058,1.7768,13.07439,0.84039,0.77017,0.87938,0.59426,1.15372,1.07899,1.72166,0.0093565,0.0093565,0.0093565
15,162.558,1.29342,1.13918,1.7535,12.90049,0.82981,0.82258,0.88779,0.56685,1.25157,1.02775,1.81422,0.009307,0.009307,0.009307
16,172.746,1.2619,1.11486,1.70671,12.581745,0.86293,0.85575,0.92021,0.634,1.13784,0.8895,1.68068,0.0092575,0.0092575,0.0092575
17,183.051,1.24427,1.07815,1.68575,12.399725,0.85355,0.86308,0.91712,0.63673,1.09919,0.8537,1.64519,0.009208,0.009208,0.009208
18,193.311,1.22599,1.04807,1.66298,12.21343,0.83649,0.86308,0.91766,0.63764,1.10112,0.8505,1.65168,0.0091585,0.0091585,0.0091585
19,203.681,1.21504,1.04438,1.65279,12.114175,0.83462,0.85086,0.90914,0.62431,1.10923,0.92244,1.65416,0.009109,0.009109,0.009109
20,213.761,1.19767,0.98875,1.62729,11.917835,0.86003,0.9014,0.93368,0.64419,1.08317,0.88224,1.59332,0.0090595,0.0090595,0.0090595
21,223.983,1.19176,0.97294,1.61399,11.845655,0.82271,0.8313,0.9004,0.62599,1.09091,0.89631,1.61547,0.00901,0.00901,0.00901
22,234.311,1.17563,0.96751,1.60106,11.70257,0.86332,0.88753,0.94365,0.6713,1.05294,0.75271,1.56449,0.0089605,0.0089605,0.0089605
23,244.616,1.15792,0.94798,1.59467,11.550395,0.87556,0.87738,0.93198,0.66254,1.06362,0.77349,1.58622,0.008911,0.008911,0.008911
24,254.585,1.13443,0.90203,1.55757,11.295595,0.88999,0.90954,0.95468,0.69807,1.01001,0.7294,1.52434,0.0088615,0.0088615,0.0088615
25,265.148,1.14201,0.90449,1.561,11.35882,0.89013,0.89137,0.94649,0.69423,0.97915,0.76477,1.49442,0.008812,0.008812,0.008812
26,275.028,1.12671,0.89524,1.54517,11.2157,0.87772,0.91263,0.95424,0.70139,1.00071,0.73048,1.49536,0.0087625,0.0087625,0.0087625
27,285.186,1.11675,0.90038,1.5402,11.136115,0.88761,0.88264,0.94671,0.68458,1.01555,0.71808,1.50699,0.008713,0.008713,0.008713
28,295.673,1.08909,0.86288,1.50248,10.853335,0.86623,0.90246,0.9484,0.69894,0.94675,0.76159,1.46017,0.0086635,0.0086635,0.0086635
29,305.753,1.10015,0.86718,1.51367,10.95522,0.89791,0.90465,0.94687,0.68805,1.00817,0.71299,1.52508,0.008614,0.008614,0.008614
30,316.026,1.07006,0.83635,1.49976,10.693265,0.88587,0.91932,0.95875,0.71352,0.94496,0.65435,1.4543,0.0085645,0.0085645,0.0085645
31,326.28,1.07818,0.84666,1.51229,10.778115,0.89439,0.89039,0.95113,0.69626,0.98489,0.65878,1.50523,0.008515,0.008515,0.008515
32,336.593,1.07726,0.83941,1.48559,10.72754,0.89313,0.9022,0.95288,0.71066,0.96253,0.65917,1.48982,0.0084655,0.0084655,0.0084655
33,346.669,1.06713,0.83362,1.48726,10.651175,0.87878,0.93643,0.95748,0.71925,0.94229,0.63941,1.44567,0.008416,0.008416,0.008416
34,356.953,1.05392,0.82196,1.4825,10.53913,0.90407,0.89242,0.95698,0.71689,0.9455,0.66823,1.45868,0.0083665,0.0083665,0.0083665
35,367.074,1.05502,0.81519,1.4794,10.539345,0.87095,0.92421,0.95463,0.71008,0.97277,0.6589,1.47062,0.008317,0.008317,0.008317
36,377.206,1.03583,0.79201,1.45561,10.348145,0.90566,0.93399,0.96059,0.71593,0.95184,0.64191,1.46909,0.0082675,0.0082675,0.0082675
37,387.358,1.04093,0.79888,1.45922,10.395245,0.87935,0.9291,0.95971,0.71604,0.9299,0.64176,1.44822,0.008218,0.008218,0.008218
38,397.367,1.03026,0.78006,1.45342,10.29711,0.92441,0.89704,0.96453,0.72668,0.92552,0.61735,1.44005,0.0081685,0.0081685,0.0081685
39,407.894,1.02684,0.78218,1.44877,10.265545,0.91027,0.91768,0.95893,0.72274,0.92263,0.61905,1.43688,0.008119,0.008119,0.008119
40,418.302,1.00591,0.75236,1.43778,10.077175,0.8813,0.91932,0.94742,0.70979,0.92639,0.648,1.45357,0.0080695,0.0080695,0.0080695
41,428.417,1.02218,0.76747,1.44802,10.222115,0.88363,0.91443,0.94474,0.70734,0.94338,0.63484,1.42785,0.00802,0.00802,0.00802
42,438.792,1.00634,0.75443,1.43331,10.07473,0.87454,0.94377,0.96439,0.73353,0.90047,0.58206,1.39818,0.0079705,0.0079705,0.0079705
43,454.851,1.02123,0.75419,1.43805,10.193395,0.87431,0.93399,0.96431,0.73366,0.91529,0.6162,1.38681,0.007921,0.007921,0.007921
44,464.319,0.98068,0.72995,1.40692,9.830455,0.89747,0.92028,0.9655,0.73831,0.90626,0.58087,1.41554,0.0078715,0.0078715,0.0078715
45,473.708,0.99684,0.7392,1.41324,9.96576,0.91431,0.93916,0.96842,0.74143,0.91626,0.57288,1.38524,0.007822,0.007822,0.007822
46,483.124,0.9863,0.71767,1.40087,9.85739,0.93918,0.89242,0.96985,0.74114,0.91166,0.58367,1.40448,0.0077725,0.0077725,0.0077725
47,492.389,0.97425,0.72228,1.38982,9.752745,0.93182,0.90218,0.96678,0.74585,0.87343,0.57331,1.36534,0.007723,0.007723,0.007723
48,501.753,0.98313,0.72455,1.40137,9.837805,0.92137,0.9454,0.9696,0.74172,0.91639,0.56935,1.40578,0.0076735,0.0076735,0.0076735
49,510.966,0.98278,0.70778,1.39655,9.819565,0.91126,0.92902,0.96621,0.73533,0.90782,0.57603,1.40609,0.007624,0.007624,0.007624
50,520.222,0.97092,0.71258,1.38386,9.71398,0.8879,0.94896,0.96855,0.74525,0.88755,0.55757,1.3836,0.0075745,0.0075745,0.0075745
51,529.416,0.96545,0.70806,1.38577,9.67356,0.91084,0.93643,0.96658,0.74489,0.873,0.56904,1.36077,0.007525,0.007525,0.007525
52,538.655,0.95899,0.69729,1.38363,9.616515,0.91032,0.94621,0.97165,0.74802,0.89417,0.54999,1.38266,0.0074755,0.0074755,0.0074755
53,548.047,0.96919,0.69022,1.38979,9.69872,0.91735,0.92267,0.96736,0.73973,0.9039,0.573,1.38961,0.007426,0.007426,0.007426
54,557.281,0.95097,0.69627,1.36842,9.53304,0.89489,0.93672,0.9688,0.74443,0.91208,0.58028,1.37909,0.0073765,0.0073765,0.0073765
55,566.679,0.94742,0.69853,1.36629,9.50435,0.90527,0.95844,0.97667,0.74175,0.91007,0.55421,1.38879,0.007327,0.007327,0.007327
56,576.003,0.95616,0.69838,1.37335,9.580415,0.91019,0.94163,0.97299,0.75356,0.88373,0.54855,1.37089,0.0072775,0.0072775,0.0072775
57,585.325,0.95207,0.67823,1.36483,9.526885,0.93827,0.89183,0.96788,0.75093,0.8882,0.53861,1.37349,0.007228,0.007228,0.007228
58,594.804,0.93775,0.67107,1.34512,9.38634,0.91869,0.93923,0.96636,0.74089,0.8904,0.54787,1.37854,0.0071785,0.0071785,0.0071785
59,604.152,0.9277,0.66698,1.34698,9.31171,0.92698,0.95844,0.97926,0.75493,0.87938,0.52126,1.36176,0.007129,0.007129,0.007129
60,613.492,0.93086,0.66403,1.34817,9.33572,0.93233,0.91198,0.97118,0.75003,0.88925,0.54023,1.37232,0.0070795,0.0070795,0.0070795
61,622.828,0.92476,0.64609,1.33446,9.260435,0.92449,0.92796,0.9727,0.76544,0.85256,0.52991,1.34872,0.00703,0.00703,0.00703
62,632.289,0.92981,0.65902,1.34555,9.32141,0.90744,0.95883,0.97411,0.75724,0.88253,0.5323,1.3593,0.0069805,0.0069805,0.0069805
63,641.577,0.92947,0.66911,1.35315,9.335305,0.9167,0.93399,0.97254,0.75182,0.87282,0.53712,1.3605,0.006931,0.006931,0.006931
64,650.82,0.93265,0.66599,1.34881,9.351085,0.92587,0.94866,0.9751,0.75239,0.88183,0.53493,1.35121,0.0068815,0.0068815,0.0068815
65,659.958,0.9249,0.65471,1.33942,9.273235,0.89665,0.93333,0.96813,0.77029,0.84054,0.55109,1.32144,0.006832,0.006832,0.006832
66,669.196,0.91812,0.64473,1.32339,9.19335,0.91977,0.92665,0.96888,0.76342,0.85612,0.51351,1.32779,0.0067825,0.0067825,0.0067825
67,682.977,0.90123,0.64003,1.32643,9.068885,0.92089,0.93928,0.97848,0.7553,0.86993,0.50409,1.34335,0.006733,0.006733,0.006733
68,692.31,0.90873,0.64077,1.32635,9.125385,0.89413,0.94984,0.96945,0.75543,0.86532,0.52834,1.32848,0.0066835,0.0066835,0.0066835
69,701.584,0.90292,0.65012,1.33483,9.099205,0.89589,0.96786,0.97431,0.76459,0.86184,0.51445,1.35394,0.006634,0.006634,0.006634
70,710.833,0.90583,0.6437,1.32996,9.110515,0.91269,0.93643,0.97206,0.76681,0.85243,0.52035,1.32408,0.0065845,0.0065845,0.0065845
71,720.121,0.90184,0.63398,1.3164,9.05539,0.91042,0.9442,0.97333,0.75798,0.88339,0.52765,1.35549,0.006535,0.006535,0.006535
72,729.387,0.88713,0.62572,1.30845,8.92901,0.93151,0.93104,0.96483,0.75276,0.86942,0.51649,1.36183,0.0064855,0.0064855,0.0064855
73,738.708,0.8775,0.62186,1.30049,8.842915,0.91108,0.93399,0.97163,0.76531,0.84965,0.52654,1.33278,0.006436,0.006436,0.006436
74,748.172,0.87933,0.61911,1.30507,8.862135,0.92412,0.95284,0.97475,0.76453,0.88324,0.51709,1.35638,0.0063865,0.0063865,0.0063865
75,757.419,0.88621,0.60867,1.30733,8.911905,0.91265,0.95599,0.97481,0.77579,0.83929,0.51069,1.30822,0.006337,0.006337,0.006337
76,766.788,0.87781,0.6162,1.31059,8.85756,0.91908,0.93888,0.97303,0.76783,0.8413,0.50269,1.3302,0.0062875,0.0062875,0.0062875
77,776.053,0.88274,0.6106,1.29996,8.87579,0.92123,0.94368,0.9705,0.76907,0.8325,0.51358,1.3205,0.006238,0.006238,0.006238
78,785.332,0.87344,0.60956,1.29659,8.800465,0.90533,0.95862,0.97623,0.77979,0.84441,0.49264,1.31888,0.0061885,0.0061885,0.0061885
79,794.784,0.87977,0.61437,1.30085,8.856735,0.92625,0.95189,0.9716,0.75993,0.87462,0.5092,1.3369,0.006139,0.006139,0.006139
80,804.1,0.88633,0.61552,1.304,8.911235,0.89716,0.95987,0.9708,0.7715,0.83057,0.51325,1.31277,0.0060895,0.0060895,0.0060895
81,813.308,0.86843,0.59873,1.29262,8.75152,0.92261,0.94866,0.97747,0.78024,0.84751,0.50016,1.31138,0.00604,0.00604,0.00604
82,822.669,0.87174,0.5997,1.28523,8.765745,0.91259,0.94132,0.97506,0.77309,0.83787,0.49923,1.31458,0.0059905,0.0059905,0.0059905
83,831.901,0.84629,0.59487,1.2731,8.55426,0.94181,0.94968,0.9815,0.77293,0.83807,0.4865,1.30276,0.005941,0.005941,0.005941
84,841.201,0.85898,0.58947,1.26952,8.641365,0.9306,0.95083,0.97953,0.77791,0.84539,0.49052,1.30817,0.0058915,0.0058915,0.0058915
85,850.496,0.85545,0.58027,1.27138,8.61308,0.91524,0.96577,0.98074,0.77574,0.86115,0.48144,1.32223,0.005842,0.005842,0.005842
86,859.831,0.8549,0.58881,1.27769,8.62269,0.92276,0.94132,0.97753,0.77636,0.85011,0.48728,1.31803,0.0057925,0.0057925,0.0057925
87,869.048,0.84301,0.58546,1.25392,8.496185,0.9087,0.9511,0.97431,0.77251,0.85294,0.50711,1.31357,0.005743,0.005743,0.005743
88,878.257,0.85988,0.57517,1.27978,8.656355,0.9363,0.93439,0.9764,0.76998,0.85663,0.49623,1.33342,0.0056935,0.0056935,0.0056935
89,887.495,0.85053,0.58375,1.26133,8.562845,0.93002,0.94377,0.97716,0.77931,0.84608,0.48565,1.30399,0.005644,0.005644,0.005644
90,896.786,0.84567,0.57361,1.25982,8.51906,0.93421,0.93738,0.97613,0.77709,0.86008,0.48591,1.31431,0.0055945,0.0055945,0.0055945
91,906.101,0.84385,0.57739,1.26055,8.508395,0.91774,0.95467,0.97742,0.7725,0.84596,0.48557,1.30074,0.005545,0.005545,0.005545
92,915.379,0.84696,0.58151,1.26039,8.53354,0.91839,0.96307,0.97497,0.77732,0.82835,0.47208,1.29757,0.0054955,0.0054955,0.0054955
93,924.588,0.84938,0.57595,1.26626,8.557715,0.9144,0.96634,0.97596,0.77663,0.82974,0.47758,1.28809,0.005446,0.005446,0.005446
94,933.919,0.83566,0.57128,1.25323,8.432935,0.92728,0.93533,0.9755,0.76537,0.85448,0.49154,1.30557,0.0053965,0.0053965,0.0053965
95,943.18,0.83708,0.56431,1.24855,8.43308,0.92992,0.94866,0.97828,0.7806,0.84113,0.46998,1.30375,0.005347,0.005347,0.005347
96,952.692,0.83695,0.57341,1.26015,8.454055,0.92531,0.93893,0.97773,0.77752,0.82601,0.47959,1.29437,0.0052975,0.0052975,0.0052975
97,962.068,0.83548,0.56126,1.25667,8.431735,0.93456,0.94284,0.97743,0.77957,0.84183,0.47466,1.31695,0.005248,0.005248,0.005248
98,971.294,0.82244,0.55921,1.24095,8.30933,0.8949,0.98289,0.97613,0.77693,0.83887,0.4706,1.32456,0.0051985,0.0051985,0.0051985
99,980.549,0.82721,0.56256,1.25107,8.36196,0.92154,0.96333,0.97503,0.7736,0.82249,0.48049,1.30189,0.005149,0.005149,0.005149
