                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,         train/loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.3055,3.9038,4.1089,32.9065,0.0018,0.38631,0.00194,0.00062,2.8173,4.1062,3.8369,0.070405,0.0032883,0.0032883
2,3.0203,3.2623,3.5293,29.57735,0.07817,0.15403,0.04617,0.01346,2.5004,3.1827,3.2592,0.040373,0.0065888,0.0065888
3,2.5954,2.8775,3.0521,25.4824,0.17483,0.1956,0.11813,0.03269,2.397,3.0132,3.1923,0.010307,0.0098564,0.0098564
4,2.1877,2.3895,2.6457,21.57105,0.36264,0.43276,0.29721,0.12168,2.0536,3.7876,2.7593,0.0098515,0.0098515,0.0098515
5,1.8482,1.9219,2.3229,18.3068,0.61107,0.61369,0.63838,0.34245,1.6136,1.9648,2.1998,0.009802,0.009802,0.009802
6,1.6339,1.6253,2.105,16.2244,0.7097,0.68704,0.76678,0.46069,1.3718,1.4161,1.9849,0.0097525,0.0097525,0.0097525
7,1.4954,1.4357,1.9698,14.88805,0.74255,0.77751,0.806,0.50676,1.2655,1.3445,1.8806,0.009703,0.009703,0.009703
8,1.3973,1.3255,1.8783,13.95995,0.76939,0.79707,0.83684,0.53479,1.2473,1.238,1.8084,0.0096535,0.0096535,0.0096535
9,1.3482,1.2244,1.8127,13.44275,0.74039,0.82641,0.84772,0.5477,1.2214,1.0665,1.8091,0.009604,0.009604,0.009604
10,1.3005,1.1535,1.7737,12.99105,0.8209,0.8313,0.88118,0.58501,1.1989,1.0701,1.8013,0.0095545,0.0095545,0.0095545
11,1.272,1.102,1.7346,12.6929,0.8368,0.79951,0.8979,0.60658,1.1076,0.95231,1.6803,0.009505,0.009505,0.009505
12,1.2251,1.0456,1.6961,12.2552,0.8789,0.79854,0.90518,0.59634,1.1212,0.89212,1.7055,0.0094555,0.0094555,0.0094555
13,1.1901,1.0129,1.6507,11.90825,0.87467,0.83614,0.91411,0.62901,1.0708,0.88727,1.63,0.009406,0.009406,0.009406
14,1.1748,0.98009,1.6549,11.783395,0.89494,0.87042,0.94042,0.66163,1.0342,0.78449,1.5965,0.0093565,0.0093565,0.0093565
15,1.1553,0.95341,1.6382,11.598755,0.86862,0.89487,0.9431,0.66977,1.0041,0.88138,1.5833,0.009307,0.009307,0.009307
16,1.1435,0.92772,1.6183,11.46756,0.88549,0.9022,0.94473,0.66379,1.0265,0.74825,1.5734,0.0092575,0.0092575,0.0092575
17,1.1246,0.90352,1.6032,11.29106,0.9027,0.88462,0.95203,0.6897,0.97888,0.71591,1.5345,0.009208,0.009208,0.009208
18,1.1,0.86452,1.5769,11.04761,0.88386,0.88753,0.94444,0.67676,1.0085,0.7694,1.578,0.0091585,0.0091585,0.0091585
19,1.1019,0.88281,1.5878,11.087355,0.91023,0.86764,0.94938,0.68092,1.0047,0.70379,1.5753,0.009109,0.009109,0.009109
20,1.0648,0.82438,1.5455,10.71644,0.886,0.89312,0.95636,0.7023,0.95037,0.73174,1.5077,0.0090595,0.0090595,0.0090595
21,1.0764,0.82408,1.5446,10.80194,0.91133,0.90463,0.94982,0.68901,0.96616,0.69935,1.5349,0.00901,0.00901,0.00901
22,1.0545,0.81812,1.5305,10.61356,0.90243,0.91687,0.95526,0.70137,0.94512,0.663,1.5265,0.0089605,0.0089605,0.0089605
23,1.0442,0.7951,1.5295,10.5233,0.931,0.89068,0.96426,0.7055,0.97742,0.70113,1.5513,0.008911,0.008911,0.008911
24,1.0119,0.76754,1.4908,10.20922,0.92038,0.90439,0.9522,0.69181,0.99238,0.67359,1.5643,0.0088615,0.0088615,0.0088615
25,1.0156,0.76553,1.4922,10.238065,0.86613,0.93643,0.96247,0.71436,0.93486,0.68626,1.4987,0.008812,0.008812,0.008812
26,1.0024,0.76224,1.4792,10.11792,0.91542,0.89968,0.96161,0.72369,0.92229,0.59222,1.495,0.0087625,0.0087625,0.0087625
27,0.9918,0.76094,1.4747,10.03102,0.93394,0.89866,0.97021,0.71571,0.95305,0.5942,1.5042,0.008713,0.008713,0.008713
28,0.99162,0.73343,1.4557,9.987415,0.87596,0.93242,0.94343,0.70567,0.90764,0.63608,1.4673,0.0086635,0.0086635,0.0086635
29,0.98627,0.73317,1.4594,9.95271,0.9024,0.90423,0.95851,0.71841,0.90447,0.61998,1.4581,0.008614,0.008614,0.008614
30,0.96178,0.71842,1.4442,9.73886,0.92269,0.93378,0.97303,0.72678,0.91541,0.58955,1.4703,0.0085645,0.0085645,0.0085645
31,0.9628,0.71498,1.4475,9.74974,0.89991,0.96577,0.97006,0.73265,0.91761,0.62039,1.4817,0.008515,0.008515,0.008515
32,0.95547,0.70708,1.4303,9.665015,0.90752,0.93643,0.97176,0.73577,0.89013,0.56804,1.4449,0.0084655,0.0084655,0.0084655
33,0.9438,0.70231,1.4284,9.572255,0.90082,0.93274,0.96691,0.73316,0.90585,0.60815,1.4771,0.008416,0.008416,0.008416
34,0.93261,0.69946,1.4325,9.493055,0.9217,0.92103,0.96892,0.72462,0.8964,0.58461,1.4597,0.0083665,0.0083665,0.0083665
35,0.94226,0.691,1.4269,9.5528,0.93726,0.91313,0.97308,0.73429,0.89771,0.56659,1.4717,0.008317,0.008317,0.008317
36,0.91706,0.68062,1.401,9.31976,0.91141,0.93068,0.9639,0.71665,0.92539,0.61067,1.5078,0.0082675,0.0082675,0.0082675
37,0.93004,0.68374,1.409,9.43067,0.90657,0.92526,0.96898,0.73857,0.90481,0.57084,1.441,0.008218,0.008218,0.008218
38,0.9144,0.65911,1.384,9.263555,0.94894,0.89242,0.97429,0.7378,0.89063,0.54903,1.4438,0.0081685,0.0081685,0.0081685
39,0.9085,0.66684,1.3944,9.23877,0.90703,0.93034,0.97089,0.7477,0.85709,0.54894,1.4109,0.008119,0.008119,0.008119
40,0.89121,0.63995,1.3779,9.0709,0.93008,0.95599,0.97854,0.74,0.89879,0.54234,1.447,0.0080695,0.0080695,0.0080695
41,0.89356,0.64711,1.3878,9.106955,0.90052,0.9511,0.96296,0.72618,0.9004,0.58606,1.4484,0.00802,0.00802,0.00802
42,0.88998,0.64131,1.3819,9.068355,0.94001,0.91953,0.96764,0.73427,0.88549,0.54008,1.432,0.0079705,0.0079705,0.0079705
43,0.89055,0.62964,1.3817,9.066495,0.92184,0.95156,0.97406,0.7371,0.89957,0.5343,1.4628,0.007921,0.007921,0.007921
44,0.87723,0.61656,1.3591,8.926155,0.93694,0.9082,0.96921,0.74229,0.8676,0.53666,1.4273,0.0078715,0.0078715,0.0078715
45,0.87395,0.62151,1.3589,8.90373,0.92895,0.92704,0.97326,0.74499,0.87994,0.5435,1.449,0.007822,0.007822,0.007822
46,0.86617,0.60786,1.3515,8.827455,0.92726,0.93643,0.97281,0.74994,0.87307,0.53899,1.432,0.0077725,0.0077725,0.0077725
47,0.85303,0.6073,1.341,8.712875,0.93169,0.93367,0.97203,0.75485,0.86968,0.54127,1.4316,0.007723,0.007723,0.007723
48,0.86479,0.61256,1.351,8.818705,0.89804,0.92176,0.96478,0.74261,0.87077,0.55107,1.423,0.0076735,0.0076735,0.0076735
49,0.85745,0.60246,1.3437,8.747655,0.93691,0.93643,0.97999,0.758,0.8488,0.5173,1.4065,0.007624,0.007624,0.007624
50,0.85049,0.59809,1.3356,8.68112,0.92005,0.9511,0.97391,0.74676,0.8881,0.53659,1.4486,0.0075745,0.0075745,0.0075745
51,0.8448,0.59244,1.3375,8.63847,0.93247,0.94526,0.97729,0.74774,0.88314,0.51086,1.4451,0.007525,0.007525,0.007525
52,0.83589,0.59132,1.3278,8.556535,0.92852,0.94377,0.97345,0.74578,0.87889,0.51848,1.4374,0.0074755,0.0074755,0.0074755
53,0.85308,0.59162,1.346,8.71291,0.94508,0.92558,0.97639,0.75143,0.8741,0.5143,1.4355,0.007426,0.007426,0.007426
54,0.82547,0.57981,1.3218,8.46363,0.90748,0.94866,0.97184,0.75354,0.85169,0.51641,1.4046,0.0073765,0.0073765,0.0073765
55,0.82233,0.58986,1.3173,8.438355,0.92154,0.94773,0.97567,0.7479,0.87313,0.51004,1.4421,0.007327,0.007327,0.007327
56,0.8319,0.59159,1.3281,8.527195,0.91933,0.92421,0.9706,0.75768,0.83553,0.53705,1.4064,0.0072775,0.0072775,0.0072775
57,0.82121,0.56729,1.3146,8.41462,0.92444,0.92731,0.96953,0.75172,0.84684,0.52423,1.4088,0.007228,0.007228,0.007228
58,0.8052,0.56087,1.2938,8.260135,0.92078,0.95355,0.97286,0.75122,0.86431,0.51725,1.4331,0.0071785,0.0071785,0.0071785
59,0.81097,0.55852,1.3089,8.324885,0.9173,0.94923,0.97374,0.76035,0.84741,0.49735,1.4186,0.007129,0.007129,0.007129
60,0.80626,0.56018,1.3011,8.27869,0.90538,0.94132,0.97391,0.76802,0.84992,0.49983,1.4055,0.0070795,0.0070795,0.0070795
61,0.80551,0.5456,1.2917,8.251675,0.91427,0.96477,0.97806,0.76725,0.82947,0.4765,1.3952,0.00703,0.00703,0.00703
62,0.81148,0.55813,1.3021,8.318315,0.90804,0.96575,0.97452,0.76536,0.83554,0.51536,1.4071,0.0069805,0.0069805,0.0069805
63,0.79169,0.56039,1.2817,8.14042,0.89559,0.94371,0.96572,0.75609,0.84335,0.51999,1.4085,0.006931,0.006931,0.006931
64,0.80287,0.553,1.2879,8.229875,0.9284,0.95112,0.97906,0.76319,0.86921,0.49627,1.4221,0.0068815,0.0068815,0.0068815
65,0.8069,0.55168,1.2908,8.26379,0.91475,0.94449,0.97119,0.76264,0.84537,0.48216,1.3941,0.006832,0.006832,0.006832
66,0.78664,0.54166,1.2723,8.07908,0.92433,0.95844,0.97502,0.75969,0.83605,0.51491,1.3991,0.0067825,0.0067825,0.0067825
67,0.77936,0.52952,1.2695,8.01421,0.93075,0.93154,0.97907,0.76378,0.85666,0.47462,1.4088,0.006733,0.006733,0.006733
68,0.78225,0.53335,1.2772,8.04935,0.92803,0.92665,0.97305,0.75677,0.83596,0.4884,1.3908,0.0066835,0.0066835,0.0066835
69,0.777,0.533,1.2719,8.00185,0.92669,0.95816,0.97652,0.76904,0.83221,0.46975,1.4,0.006634,0.006634,0.006634
70,0.77717,0.54089,1.2757,8.01277,0.92585,0.94641,0.96909,0.75394,0.86193,0.48889,1.4306,0.0065845,0.0065845,0.0065845
71,0.7757,0.528,1.2646,7.97865,0.94955,0.92043,0.97599,0.76848,0.85855,0.46743,1.4308,0.006535,0.006535,0.006535
72,0.76475,0.51932,1.261,7.886785,0.91835,0.96255,0.9702,0.76246,0.83483,0.46767,1.4046,0.0064855,0.0064855,0.0064855
73,0.74699,0.50932,1.247,7.727585,0.91428,0.96493,0.9792,0.77307,0.83976,0.46865,1.4138,0.006436,0.006436,0.006436
74,0.75086,0.51015,1.2557,7.770075,0.92624,0.94377,0.9763,0.76317,0.83534,0.47501,1.4071,0.0063865,0.0063865,0.0063865
75,0.76476,0.51098,1.2581,7.87834,0.92965,0.94377,0.97597,0.76931,0.82396,0.46965,1.3923,0.006337,0.006337,0.006337
76,0.74442,0.50699,1.2488,7.709845,0.90981,0.96194,0.97879,0.77714,0.80998,0.46203,1.369,0.0062875,0.0062875,0.0062875
77,0.7494,0.49757,1.2398,7.728985,0.92646,0.9511,0.97824,0.76125,0.83535,0.4883,1.4029,0.006238,0.006238,0.006238
78,0.74454,0.50203,1.2402,7.695365,0.92739,0.9511,0.97695,0.77023,0.8368,0.44534,1.3902,0.0061885,0.0061885,0.0061885
79,0.74311,0.5046,1.2469,7.695975,0.91362,0.96088,0.97567,0.76664,0.83654,0.47408,1.4078,0.006139,0.006139,0.006139
80,0.75273,0.51455,1.2518,7.78045,0.92129,0.94437,0.97008,0.76869,0.8147,0.47935,1.3882,0.0060895,0.0060895,0.0060895
81,0.74275,0.49191,1.2364,7.67118,0.92033,0.96333,0.97873,0.77314,0.82651,0.4488,1.395,0.00604,0.00604,0.00604
82,0.74075,0.49017,1.2371,7.65636,0.93598,0.95599,0.98007,0.76763,0.83123,0.46086,1.3985,0.0059905,0.0059905,0.0059905
83,0.72268,0.48615,1.2227,7.497225,0.90937,0.97066,0.977,0.77448,0.81143,0.45893,1.384,0.005941,0.005941,0.005941
84,0.72313,0.48623,1.2165,7.49134,0.91821,0.96577,0.98179,0.77998,0.81212,0.45551,1.386,0.0058915,0.0058915,0.0058915
85,0.71437,0.47956,1.2142,7.418855,0.93254,0.94866,0.97941,0.77884,0.80534,0.44864,1.3758,0.005842,0.005842,0.005842
86,0.72395,0.48533,1.2288,7.51549,0.93499,0.9511,0.97925,0.77563,0.81779,0.44343,1.3708,0.0057925,0.0057925,0.0057925
87,0.71055,0.48086,1.2039,7.375405,0.92637,0.92279,0.97447,0.77181,0.81945,0.47032,1.3846,0.005743,0.005743,0.005743
88,0.71662,0.46756,1.212,7.42643,0.92087,0.95599,0.97176,0.76456,0.83502,0.46096,1.405,0.0056935,0.0056935,0.0056935
89,0.71643,0.47474,1.2093,7.424545,0.91676,0.95844,0.97816,0.78255,0.81308,0.44449,1.3907,0.005644,0.005644,0.005644
90,0.71263,0.46514,1.216,7.401295,0.93107,0.95775,0.97742,0.7714,0.82221,0.46258,1.4079,0.0055945,0.0055945,0.0055945
91,0.71025,0.4788,1.2154,7.389375,0.91644,0.96535,0.97803,0.7779,0.81387,0.44826,1.3799,0.005545,0.005545,0.005545
92,0.70871,0.47246,1.2072,7.362355,0.93105,0.94866,0.97783,0.77526,0.81721,0.44723,1.3829,0.0054955,0.0054955,0.0054955
93,0.71539,0.47026,1.2149,7.422905,0.91325,0.95599,0.98098,0.77645,0.8318,0.45559,1.4109,0.005446,0.005446,0.005446
94,0.69322,0.46169,1.2005,7.230745,0.92553,0.9291,0.97415,0.76506,0.8211,0.47015,1.3904,0.0053965,0.0053965,0.0053965
95,0.70602,0.46251,1.2021,7.329555,0.92458,0.93643,0.97401,0.78042,0.81221,0.45037,1.3722,0.005347,0.005347,0.005347
96,0.69153,0.46293,1.1948,7.21014,0.93668,0.94038,0.9761,0.77434,0.81427,0.46153,1.3746,0.0052975,0.0052975,0.0052975
97,0.69521,0.45357,1.1948,7.23306,0.9323,0.9427,0.97702,0.76654,0.81569,0.44747,1.3942,0.005248,0.005248,0.005248
98,0.68664,0.45475,1.1845,7.153925,0.9159,0.95857,0.97477,0.77177,0.81928,0.45442,1.3936,0.0051985,0.0051985,0.0051985
99,0.68884,0.45273,1.1966,7.187565,0.9201,0.96088,0.97945,0.77562,0.81186,0.4547,1.4019,0.005149,0.005149,0.005149
